,stacja,rok,miesiąc,dzień,temperatura,suma opadów,wilgotność,prędkość wiatru,zachmurzenine
0,KRAKÓW-OBSERWATORIUM,2014,1,1,0.3,0.0,94.5,0.7,7.3
1,KRAKÓW-OBSERWATORIUM,2014,1,2,-1.5,0.0,89.5,1.0,4.3
2,KRAKÓW-OBSERWATORIUM,2014,1,3,2.0,0.0,88.5,0.3,1.7
3,KRAKÓW-OBSERWATORIUM,2014,1,4,2.7,1.7,88.5,0.3,6.0
4,KRAKÓW-OBSERWATORIUM,2014,1,5,7.0,0.9,87.8,0.7,7.0
5,KRAKÓW-OBSERWATORIUM,2014,1,6,5.1,0.0,87.0,0.3,3.7
6,KRAKÓW-OBSERWATORIUM,2014,1,7,2.6,0.0,92.3,0.7,5.0
7,KRAKÓW-OBSERWATORIUM,2014,1,8,4.7,0.1,85.3,0.7,4.3
8,KRAKÓW-OBSERWATORIUM,2014,1,9,4.2,4.9,91.3,0.3,7.0
9,KRAKÓW-OBSERWATORIUM,2014,1,10,6.5,0.4,74.3,3.7,6.3
10,KRAKÓW-OBSERWATORIUM,2014,1,11,5.4,1.8,59.5,2.0,5.0
11,KRAKÓW-OBSERWATORIUM,2014,1,12,4.4,0.1,65.8,3.7,7.0
12,KRAKÓW-OBSERWATORIUM,2014,1,13,1.8,0.0,67.0,2.3,3.0
13,KRAKÓW-OBSERWATORIUM,2014,1,14,-0.2,6.1,92.8,1.3,7.3
14,KRAKÓW-OBSERWATORIUM,2014,1,15,3.0,0.5,90.5,2.0,8.0
15,KRAKÓW-OBSERWATORIUM,2014,1,16,3.4,0.0,79.0,0.7,6.7
16,KRAKÓW-OBSERWATORIUM,2014,1,17,3.8,1.5,80.3,0.3,6.7
17,KRAKÓW-OBSERWATORIUM,2014,1,18,4.5,3.7,94.3,2.0,8.0
18,KRAKÓW-OBSERWATORIUM,2014,1,19,4.4,2.6,94.5,3.7,8.0
19,KRAKÓW-OBSERWATORIUM,2014,1,20,2.2,6.5,92.3,4.3,8.0
20,KRAKÓW-OBSERWATORIUM,2014,1,21,-1.2,7.3,95.3,2.0,8.0
21,KRAKÓW-OBSERWATORIUM,2014,1,22,-4.3,0.3,86.0,1.7,8.0
22,KRAKÓW-OBSERWATORIUM,2014,1,23,-5.8,0.0,82.3,1.7,8.0
23,KRAKÓW-OBSERWATORIUM,2014,1,24,-8.4,0.0,80.3,4.3,8.0
24,KRAKÓW-OBSERWATORIUM,2014,1,25,-12.1,4.7,78.0,3.0,7.7
25,KRAKÓW-OBSERWATORIUM,2014,1,26,-10.0,1.6,77.8,1.7,7.7
26,KRAKÓW-OBSERWATORIUM,2014,1,27,-8.7,0.5,78.5,1.7,5.3
27,KRAKÓW-OBSERWATORIUM,2014,1,28,-7.5,0.9,78.5,4.0,8.0
28,KRAKÓW-OBSERWATORIUM,2014,1,29,-6.6,0.0,76.5,3.3,8.0
29,KRAKÓW-OBSERWATORIUM,2014,1,30,-7.1,0.0,75.8,3.7,8.0
30,KRAKÓW-OBSERWATORIUM,2014,1,31,-6.1,0.0,73.0,3.0,6.3
31,KRAKÓW-OBSERWATORIUM,2014,2,1,0.5,0.0,69.5,1.7,6.0
32,KRAKÓW-OBSERWATORIUM,2014,2,2,2.5,3.9,77.8,1.0,8.0
33,KRAKÓW-OBSERWATORIUM,2014,2,3,-1.4,0.0,79.0,0.7,0.7
34,KRAKÓW-OBSERWATORIUM,2014,2,4,-2.9,0.0,75.3,0.3,0.0
35,KRAKÓW-OBSERWATORIUM,2014,2,5,1.0,0.0,63.0,1.0,2.0
36,KRAKÓW-OBSERWATORIUM,2014,2,6,1.5,0.0,82.3,0.3,3.7
37,KRAKÓW-OBSERWATORIUM,2014,2,7,2.1,0.0,74.0,0.7,5.0
38,KRAKÓW-OBSERWATORIUM,2014,2,8,4.4,0.0,81.5,0.7,5.0
39,KRAKÓW-OBSERWATORIUM,2014,2,9,5.1,4.6,78.8,1.0,7.3
40,KRAKÓW-OBSERWATORIUM,2014,2,10,4.5,0.3,76.8,1.0,5.0
41,KRAKÓW-OBSERWATORIUM,2014,2,11,5.4,2.2,85.0,1.3,8.0
42,KRAKÓW-OBSERWATORIUM,2014,2,12,3.4,7.6,85.8,2.0,8.0
43,KRAKÓW-OBSERWATORIUM,2014,2,13,0.8,0.5,95.8,1.0,6.7
44,KRAKÓW-OBSERWATORIUM,2014,2,14,2.9,0.0,81.8,1.3,5.7
45,KRAKÓW-OBSERWATORIUM,2014,2,15,2.9,0.0,69.0,1.0,5.7
46,KRAKÓW-OBSERWATORIUM,2014,2,16,4.1,0.0,71.8,1.3,6.7
47,KRAKÓW-OBSERWATORIUM,2014,2,17,4.7,0.0,73.0,0.3,3.0
48,KRAKÓW-OBSERWATORIUM,2014,2,18,3.0,0.0,70.5,0.3,3.7
49,KRAKÓW-OBSERWATORIUM,2014,2,19,3.6,0.0,84.8,1.7,7.0
50,KRAKÓW-OBSERWATORIUM,2014,2,20,5.7,0.0,78.5,1.0,7.0
51,KRAKÓW-OBSERWATORIUM,2014,2,21,3.6,0.4,80.0,0.3,6.3
52,KRAKÓW-OBSERWATORIUM,2014,2,22,5.0,0.1,85.5,1.0,8.0
53,KRAKÓW-OBSERWATORIUM,2014,2,23,4.7,0.0,76.8,0.3,1.7
54,KRAKÓW-OBSERWATORIUM,2014,2,24,3.4,0.0,81.0,2.0,8.0
