,0
473,19.0
474,32.0
475,15.0
476,26.0
477,33.0
478,29.0
479,23.0
480,21.0
481,17.0
482,16.0
483,13.0
484,20.0
485,25.0
486,25.0
487,21.0
488,17.0
489,18.0
490,14.0
491,15.0
492,13.0
493,23.0
494,18.0
495,11.0
496,19.0
497,17.0
498,20.0
499,22.0
500,25.0
501,18.0
502,17.0
503,23.0
504,21.0
505,12.0
506,9.0
507,12.0
508,13.0
509,19.0
510,19.0
511,9.0
512,12.0
513,17.0
514,15.0
515,9.0
516,16.0
517,25.0
518,18.0
519,16.0
520,12.0
521,21.0
522,25.0
523,18.0
524,14.0
525,11.0
526,17.0
527,21.0
528,22.0
529,15.0
530,11.0
531,10.0
532,12.0
533,14.0
534,12.0
535,11.0
536,9.0
537,10.0
538,6.0
539,6.0
540,8.0
541,15.0
542,21.0
543,12.0
544,9.0
545,13.0
546,14.0
547,8.0
548,8.0
549,17.0
550,20.0
551,19.0
552,15.0
553,14.0
554,7.0
555,7.0
556,11.0
557,16.0
558,8.0
559,8.0
560,10.0
561,12.0
562,17.0
563,18.0
564,15.0
565,15.0
566,15.0
567,18.0
568,17.0
569,13.0
570,17.0
571,6.0
572,8.0
573,7.0
574,6.0
575,6.0
576,14.0
577,14.0
578,16.0
579,19.0
580,21.0
581,21.0
582,25.0
583,28.0
584,24.0
585,25.0
586,32.0
587,34.0
588,40.0
589,30.0
590,25.0
591,27.0
592,23.0
593,18.0
594,21.0
595,19.0
596,15.0
597,20.0
598,22.0
599,20.0
600,17.0
601,14.0
602,13.0
603,22.0
604,24.0
605,22.0
606,24.0
607,30.0
608,24.0
609,14.0
610,12.0
611,14.0
612,18.0
613,5.0
614,7.0
615,8.0
616,14.0
617,17.0
618,16.0
619,17.0
620,15.0
621,20.0
622,22.0
623,14.0
624,21.0
625,17.0
626,15.0
627,18.0
628,16.0
629,19.0
630,34.0
631,32.0
632,28.0
633,18.0
634,14.0
635,14.0
636,15.0
637,12.0
638,27.0
639,41.0
640,44.0
641,29.0
642,43.0
643,54.0
644,24.0
645,23.0
646,24.0
647,21.0
648,20.0
649,35.0
650,62.0
651,40.0
652,28.0
653,31.0
654,34.0
655,37.0
656,51.0
657,39.0
658,32.0
659,39.0
660,27.0
661,42.0
662,60.0
663,51.0
664,63.0
665,47.0
666,71.0
667,104.0
668,72.0
669,71.0
670,95.0
671,148.0
672,150.0
673,111.0
674,98.0
675,108.0
676,21.0
677,42.0
678,16.0
679,15.0
680,26.0
681,59.0
682,25.0
683,8.0
684,26.0
685,40.0
686,8.0
687,12.0
688,16.0
689,46.0
690,62.0
691,35.0
692,60.0
693,125.0
694,103.0
695,50.0
696,45.0
697,15.0
698,10.0
699,7.0
700,25.0
701,55.0
702,69.0
703,43.0
704,46.0
705,58.0
706,46.0
707,36.0
708,53.0
709,80.0
710,30.0
711,21.0
712,55.0
713,136.0
714,62.0
715,73.0
716,42.0
717,52.0
718,70.0
719,44.0
720,12.0
721,26.0
722,81.0
723,76.0
724,17.0
725,48.0
726,32.0
727,24.0
728,35.0
729,104.0
730,161.0
731,42.0
732,43.0
733,73.2
734,133.4
735,123.6
736,95.2
737,60.1
738,83.4
739,68.0
740,89.1
741,23.4
742,17.6
743,27.9
744,57.8
745,45.2
746,49.8
747,93.3
748,111.5
749,84.8
750,59.2
751,109.5
752,247.0
753,73.4
754,61.5
755,68.7
756,46.0
757,22.6
758,49.3
759,19.0
760,16.9
761,32.9
762,9.1
763,24.0
764,19.7
765,31.1
766,55.9
767,27.5
768,22.2
769,7.1
770,13.9
771,15.7
772,23.3
773,43.5
774,49.1
775,
776,25.3
777,23.5
778,46.4
779,35.5
780,33.6
781,12.2
782,9.7
783,24.7
784,34.9
785,50.7
786,61.1
787,77.2
788,44.0
789,33.9
790,15.2
791,
792,
793,49.5
794,41.1
795,23.8
796,45.7
797,38.6
798,44.7
799,21.4
800,26.7
801,17.5
802,20.5
803,30.0
804,21.4
805,42.8
806,84.3
807,63.0
808,21.3
809,41.1
810,26.8
811,25.0
812,46.5
813,35.7
814,59.7
815,48.8
816,42.9
817,31.4
818,20.7
819,21.9
820,31.9
821,22.3
822,26.9
823,33.7
824,39.1
825,46.5
826,41.3
827,37.5
828,29.6
829,25.6
830,32.1
831,41.3
832,47.0
833,35.2
834,39.9
835,18.4
836,16.4
837,23.4
838,17.6
839,26.4
840,14.6
841,20.9
842,25.8
843,30.4
844,17.6
845,24.2
846,20.0
847,13.2
848,9.8
849,16.5
850,20.1
851,18.4
852,14.7
853,14.3
854,20.2
855,19.3
856,18.7
857,17.9
858,11.1
859,13.9
860,12.5
861,16.3
862,17.2
863,10.5
864,14.0
865,13.2
866,14.0
867,11.4
868,19.7
869,21.7
870,20.5
871,25.6
872,26.4
873,19.2
874,14.3
875,15.8
876,14.5
877,16.6
878,9.9
879,11.9
880,12.0
881,13.9
882,8.5
883,10.6
884,9.3
885,18.6
886,16.3
887,8.6
888,10.8
889,14.3
890,18.5
891,12.6
892,13.8
893,13.5
894,11.0
895,12.6
896,12.6
897,8.0
898,14.4
899,10.3
900,12.9
901,12.8
902,13.8
903,18.6
904,23.9
905,21.0
906,17.2
907,11.1
908,
909,14.4
910,16.1
911,13.3
912,13.7429
913,13.2605
914,8.48816
915,11.8033
916,9.52641
917,6.30237
918,8.85246
919,14.2441
920,11.5301
921,10.1093
922,15.5738
923,16.5392
924,11.6211
925,7.65027
926,7.99636
927,7.6867
928,12.2769
929,11.5665
930,9.71645
931,12.7977
932,18.4121
933,18.2042
934,19.3195
935,16.3516
936,18.431
937,19.2061
938,17.6182
939,16.7486
940,14.5936
941,12.2684
942,9.16824
943,9.17
944,11.89
945,13.88
946,11.15
947,13.61
948,7.94
949,9.41
950,12.36
951,13.59
952,5.05
953,9.38
954,11.76
955,10.21
956,11.49
957,10.68
958,12.53
959,16.11
960,15.5
961,19.0
962,20.79
963,17.62
964,13.53
965,15.95
966,14.86
967,
968,17.9
969,20.09
970,21.64
971,20.29
972,11.04
973,12.61
974,18.2231
975,23.1002
976,24.1399
977,14.9149
978,6.52174
979,8.65784
980,16.1815
981,19.5841
982,25.1418
983,31.1909
984,27.6938
985,26.5028
986,30.2836
987,22.1739
988,18.2042
989,28.6957
990,26.8053
991,20.9641
992,17.0132
993,13.0057
994,20.586
995,23.8941
996,19.9055
997,24.1399
998,19.5652
999,17.4858
1000,26.5028
1001,29.017
1002,14.5747
1003,17.1645
1004,28.9603
1005,20.2836
1006,9.05482
1007,5.29301
1008,5.76559
1009,8.90359
1010,29.0926
1011,34.2533
1012,29.4518
1013,31.184
1014,26.9187
1015,10.5482
1016,11.6446
1017,17.7883
1018,16.8431
1019,16.4839
1020,11.7013
1021,26.276
1022,39.9055
1023,31.1531
1024,37.6938
1025,45.7845
1026,37.6559
1027,39.9244
1028,44.8393
